IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.23.133.214,2,2,0.00,940.24,0.00
172.65.160.4,2,2,0.00,940.44,0.00
172.65.162.128,2,2,0.00,940.44,0.00
172.65.92.96,2,2,0.00,940.76,0.00
172.65.90.8,2,2,0.00,940.76,0.00
104.19.163.45,2,2,0.00,940.99,0.00
172.65.161.46,2,2,0.00,941.19,0.00
172.65.163.197,2,2,0.00,941.69,0.00
104.20.207.18,2,2,0.00,941.94,0.00
104.19.164.126,2,2,0.00,942.15,0.00
172.65.177.19,2,2,0.00,942.49,0.00
172.65.176.156,2,2,0.00,943.26,0.00
104.23.131.201,2,2,0.00,946.50,0.00
104.20.206.172,2,2,0.00,949.41,0.00
172.65.173.217,2,2,0.00,954.35,0.00
172.65.158.130,2,2,0.00,955.65,0.00
172.65.167.11,2,2,0.00,960.46,0.00
172.65.170.2,2,2,0.00,961.21,0.00
172.65.169.230,2,2,0.00,961.46,0.00
104.20.203.70,2,2,0.00,976.11,0.00
104.18.72.5,2,2,0.00,981.31,0.00
104.19.18.140,2,2,0.00,983.71,0.00
104.19.16.18,2,2,0.00,986.29,0.00
